[2023-11-28 15:57:04.210] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.3259@2055.529, ask=4.3581@2057.38, ts=2023-11-28 21:57:00.247705+00:00)
[2023-11-28 15:57:04.213] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.3451@2055.583, ask=4.3581@2057.38, ts=2023-11-28 21:57:00.247836+00:00)
[2023-11-28 15:57:04.215] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.3451@2055.583, ask=8.78068@2057.6, ts=2023-11-28 21:57:00.248079+00:00)
[2023-11-28 15:57:04.249] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.277966@37980.602, ask=0.27671@38014.7, ts=2023-11-28 21:57:04.401215+00:00)
[2023-11-28 15:57:04.254] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.277966@37980.602, ask=0.554@38010.8, ts=2023-11-28 21:57:04.401331+00:00)
[2023-11-28 15:57:04.258] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.2766@37983.8, ask=0.554@38010.8, ts=2023-11-28 21:57:04.401797+00:00)
[2023-11-28 15:57:06.636] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.3451@2055.583, ask=8.7774@2056.84, ts=2023-11-28 21:57:06.765875+00:00)
[2023-11-28 15:57:06.646] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.3451@2055.583, ask=4.397@2056.325, ts=2023-11-28 21:57:06.766720+00:00)
[2023-11-28 15:57:06.650] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.40695@2055.256, ask=4.397@2056.325, ts=2023-11-28 21:57:06.767579+00:00)
[2023-11-28 15:57:19.665] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.3385@2055.6, ask=4.397@2056.325, ts=2023-11-28 21:57:19.817749+00:00)
[2023-11-28 15:57:19.672] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.3385@2055.6, ask=8.7774@2056.84, ts=2023-11-28 21:57:19.818211+00:00)
[2023-11-28 15:57:19.683] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.3385@2055.6, ask=4.4033@2056.91, ts=2023-11-28 21:57:19.820216+00:00)
[2023-11-28 15:57:19.921] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.825309@37974.8, ask=0.554@38010.8, ts=2023-11-28 21:57:20.047317+00:00)
[2023-11-28 15:57:19.931] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.27554@37981.0, ask=0.554@38010.8, ts=2023-11-28 21:57:20.047412+00:00)
